Company,Address,Phone,Website,YELP Profile,Rating - stars,Number of reviews,Prices,Venue type
Velvet,Cumberland House 200 Broad Street Birmingham B15 1SU,0121 248 0500,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.velvetmusicrooms.co.uk&cachebuster=1639565412&website_link_type=website&src_bizid=OCpWxEHPQWGkx3vtmR3Y1A&s=f66a0e7bcb905fdd25bb5dd09e6788bf430a1e19edea016a51701268e573f188,https://www.yelp.co.uk/biz/velvet-birmingham?osq=snooker,2.5 star rating,9 reviews,££,Pubs
Ye Hole In Ye Wall,4 Hackins Hey Liverpool L2 2AW,0151 227 3809,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.yeholeinyewall.com&cachebuster=1639565417&website_link_type=website&src_bizid=O4bKmLuK2j8Mxaox4g9S7w&s=077da67adbfb8705cc433d5e0216519bcb4c25ce994cc538601a01da1011e07f,https://www.yelp.co.uk/biz/ye-hole-in-ye-wall-liverpool?osq=pubs,4 star rating,6 reviews,££,Pubs
Pogue Mahones,77 Seel Street Liverpool L1 4BB,0151 708 8301,,https://www.yelp.co.uk/biz/pogue-mahones-liverpool-2?osq=pubs,4 star rating,9 reviews,££,"Sports Bars, Irish Pubs"
Mason's Arms,646 Prescot Rd Old Swan Liverpool L13 5XE,0151 228 8907,,https://www.yelp.co.uk/biz/masons-arms-liverpool?osq=pubs,3 star rating,4 reviews,££,Pubs
The Kings Arms,2 Shepherd Market London W1J 7QA,020 7629 0416,,https://www.yelp.co.uk/biz/the-kings-arms-london-9?osq=pubs,4 star rating,48 reviews,££,"Pubs, British"
The Constitution,42 St Pancras Way London NW1 0QT,020 7380 0767,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.conincamden.co.uk&cachebuster=1639565440&website_link_type=website&src_bizid=56K3su8qnPMrQ667MJ_i8Q&s=04e8f261b54753dd8914fade3153342a938864ad6e0110e87f10162e60d4ad34,https://www.yelp.co.uk/biz/the-constitution-london-4?osq=snooker,4 star rating,12 reviews,££,Pubs
Topgolf,"1111 24th St N Birmingham, AL 35234 United States",(205) 847-5757,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Ftopgolf.com%2Fus%2Fbirmingham&cachebuster=1639565445&website_link_type=website&src_bizid=Nnfyd3EZfQlhUi6n2vUfTw&s=b8c26721cd6c1888a7005d9b16d1364bb79a371193028fc885c58ffc4d29fbaa,https://www.yelp.co.uk/adredir?ad_business_id=Nnfyd3EZfQlhUi6n2vUfTw&campaign_id=_zaWZArtdS9d2Zd9dRBZ1A&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.co.uk%2Fbiz%2Ftopgolf-birmingham&request_id=3229a3f412185654&signature=1a80cc74820cdb8b84bed50ed47ebd9fe8640e5159537b5f305fce12019c513d&slot=0,3.5 star rating,192 reviews,,"American (New), Golf, Sports Bars"
The Hanbury Turn,44 Hanbury Rd Stoke Heath Bromsgrove B60 4LU,01527 577187,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.thehanburyturnbromsgrove.co.uk&cachebuster=1639565457&website_link_type=website&src_bizid=ozR0_gBYClLnwzKVSZALTQ&s=2a63879967206ef6835f23d8c8ba5c04caa74581bfed1fc9a38980c46ef924c6,https://www.yelp.co.uk/biz/the-hanbury-turn-bromsgrove?osq=snooker,3 star rating,,££,"Pubs, Food"
The Newhampton Inn,17 Riches Street Wolverhampton WV6 0DW,,,https://www.yelp.co.uk/biz/the-newhampton-inn-wolverhampton?osq=snooker,3 star rating,5 reviews,££££,Pubs
The Red House,598 Prescot Road Old Swan Liverpool L13 5XE,07890 786072,,https://www.yelp.co.uk/biz/the-red-house-liverpool?osq=pubs,3 star rating,2 reviews,££,Pubs
Rose Of Mossley,29 Rose Lane Liverpool L18 5EA,0151 724 6037,,https://www.yelp.co.uk/biz/rose-of-mossley-liverpool?osq=pubs,3 star rating,4 reviews,££,Pubs
Penny Lane Wine Bar,116 Penny Ln Liverpool L18 1DQ,0151 733 6229,,https://www.yelp.co.uk/biz/penny-lane-wine-bar-liverpool?osq=pubs,4 star rating,11 reviews,££,"Wine Bars, Pubs"
The Black Dog,112 Vauxhall Walk London SE11 5ER,020 7735 4440,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.theblackdogvauxhall.com&cachebuster=1639565479&website_link_type=website&src_bizid=aPfg25ZHYizYDfUMjELX6A&s=cbe33a75fa8fb9c0308c9a59990932f28438b18987bd4a677a47ad4e343468c4,https://www.yelp.co.uk/biz/the-black-dog-london?osq=pubs,4 star rating,22 reviews,££,Pubs
The Fighting Cocks,56 Old London Road Kingston Upon Thames KT2 6QA,020 8974 6469,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.the-fighting-cocks.co.uk%2F&cachebuster=1639565491&website_link_type=website&src_bizid=aidxfOwPbeQjMPefnMzkGg&s=9390e2dfd410515247fa273a3cb3212f8699dc3fd80c981b7acdcddd732e9ce7,https://www.yelp.co.uk/biz/the-fighting-cocks-kingston-upon-thames?osq=snooker,4 star rating,5 reviews,££,"Pubs, Music Venues"
Number 1 Bar,1 Duke Street Hill London SE1 2SW,020 3291 3251,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.n1bar.com&cachebuster=1639565495&website_link_type=website&src_bizid=RpcAlisGcknpykaExd7lng&s=ee8f1123a82350ecdb4cef7472698e231900ec70ace15eebb47fd6636fec1841,https://www.yelp.co.uk/biz/number-1-bar-london-3?osq=snooker,3.5 star rating,12 reviews,££,"Sports Bars, Clubs"
Q-Stix,96 Rushey Green Catford London SE6 4HW,020 8314 1090,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.qstix.co.uk&cachebuster=1639565497&website_link_type=website&src_bizid=DQ27VQ0xTrDii4TPmt03GQ&s=284ec1e00853302d860b86fa70131a147eb8d3b54e501b6de52fa30425f0daeb,https://www.yelp.co.uk/biz/q-stix-london?osq=snooker,3 star rating,,£££,Pool & Snooker Hall
The Pear And Partridge,The Parkway Wolverhampton WV6 7,,,https://www.yelp.co.uk/biz/the-pear-and-partridge-wolverhampton?osq=Billiards,2 star rating,,££,Pubs
George & Fox,Stafford Road Stafford ST19 5AF,01785 712229,,https://www.yelp.co.uk/biz/george-and-fox-stafford?osq=snooker,2.5 star rating,3 reviews,££,Pubs
Hogshead,186 Stafford Street Wolverhampton WV1 1NA,01902 717955,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.hogsheadwolverhampton.co.uk&cachebuster=1639565513&website_link_type=website&src_bizid=GQR-qvHceKLTVqZ8UoqwIg&s=c921867e34e29379ac5942d28fcfa7f584b6280b44622363fcfc5b0d5b1828f9,https://www.yelp.co.uk/biz/hogshead-wolverhampton?osq=snooker,3.5 star rating,12 reviews,££,"Pubs, Coffee & Tea Shops"
World of Beer,"9945 Barker Cypress Rd Ste 120 Cypress, TX 77433 United States",(281) 806-5353,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fworldofbeer.com%2FLocations%2FTowneLake&cachebuster=1639565518&website_link_type=website&src_bizid=lAtWCW79tWDnznbd6iGzDQ&s=4dcb77d5e69fedf941553bb0ccc47b55321d2ea6386c72bec5fe636b57948fa3,https://www.yelp.co.uk/biz/world-of-beer-cypress?osq=pubs,3.5 star rating,257 reviews,,"Gastro Pubs, Sports Bars"
Center Court Pizza & Brew,"810 N Dixie Dr Ste M Clute, TX 77531 United States",(979) 265-2700,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fcentercourtpizza.com&cachebuster=1639565521&website_link_type=website&src_bizid=PyCnhGtSW0Mj4277lVoa6Q&s=a6847c2a305d45055d05821578f0aa7c5464e11e0eae9e2ffcc15bf242e63214,https://www.yelp.co.uk/biz/center-court-pizza-and-brew-clute?osq=pubs,3 star rating,45 reviews,,"Italian, Pizza, Sports Bars"
Sharkies On The Beach Bar & Grill,"10 Surf Dr Surfside Beach, TX 77541 United States",(979) 233-1122,,https://www.yelp.co.uk/biz/sharkies-on-the-beach-bar-and-grill-surfside-beach-2?osq=pubs,2.5 star rating,64 reviews,,"American (Traditional), Bars"
Hereford Arms,127 Gloucester Road London SW7 4TE,020 7370 4988,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.herefordarms.co.uk&cachebuster=1639565530&website_link_type=website&src_bizid=z6s18W6UWk73QyintC4hsQ&s=3da4ff9596a5c00e3af79cf60021c746c96c016985add79d289754245c742fa5,https://www.yelp.co.uk/biz/hereford-arms-london?osq=pubs,4 star rating,103 reviews,££,Pubs
Rileys Sports Bar Woolwich,2-10 Hare Street London SE18 6NA,020 8855 4689,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.rileys.co.uk%2Fclub%2F169%2FWoolwich&cachebuster=1639565538&website_link_type=website&src_bizid=1Yprc_YaTrPHsbW_m2dzJg&s=4e66a3571313c73cb93de5f60b4e7b5d452ca42352032441015c9d74731a2597,https://www.yelp.co.uk/biz/rileys-sports-bar-woolwich-london?osq=snooker,5 star rating,,££,"Pool & Snooker Hall, Sports Bars"
The Owl & Pussycat,34 Redchurch Street London E2 7DP,020 3487 0088,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.owlandpussycatshoreditch.com&cachebuster=1639565541&website_link_type=website&src_bizid=cgVsAaRPkDPuDivlVY8r1Q&s=00eec32694b100d4838efd6cf394b2dd5ea8fe6af76ba9b6ca93e473cf39eb72,https://www.yelp.co.uk/biz/the-owl-and-pussycat-london?osq=snooker,3.5 star rating,58 reviews,££,Pubs
The Griffin,93 Leonard Street London EC2A 4RD,020 3745 7496,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.the-griffin.com&cachebuster=1639565544&website_link_type=website&src_bizid=CgxkMXS6ibHV4QOz9DSOPg&s=c926cb4ff16570876c2ebf4aae936c5fc9ba325e7c6cdc62f11fb1ecbc956da1,https://www.yelp.co.uk/biz/the-griffin-london-3?osq=snooker,3 star rating,14 reviews,££,Pubs
Mestizo,103 Hampstead Road London NW1 3EL,020 7387 4064,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Flondon.mestizomx.com%2F&cachebuster=1639565548&website_link_type=website&src_bizid=XeAaUJWcS9RZsE80a1UxjA&s=0ab48524a1888611bdf42723e017914402d019bde2714688cb157d35adae48e4,https://www.yelp.co.uk/biz/mestizo-london?osq=snooker,4 star rating,154 reviews,££,"Mexican, Bars"
The Commercial Tavern,142-144 Commercial Street London E1 6NU,020 3137 9563,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fharrildandsons.com%2Fcommercialtavern&cachebuster=1639565552&website_link_type=website&src_bizid=EmnzqBKCmVv6h0Bamm0zzg&s=bc84e2ee2058cdfa47d7d5ed8c12d391f0d6cf6965335aea42535a77aad06547,https://www.yelp.co.uk/biz/the-commercial-tavern-london?osq=snooker,4 star rating,55 reviews,££,Pubs
The Slug at Wimbledon,16 Hartfield Rd Wimbledon London SW19 3TA,020 8947 1791,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.wimbledonslug.co.uk%2F&cachebuster=1639565555&website_link_type=website&src_bizid=fIThZvOyzu7Xk5cCIKLLiw&s=765f34cff71ab22e8f4d7a275c8210328def6cec95cbbab8c270323d8b8352d7,https://www.yelp.co.uk/biz/the-slug-at-wimbledon-london?osq=snooker,3.5 star rating,14 reviews,££,Bars
Original Sin,129 Stoke Newington High Street London N16 0PH,020 7613 0325,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.originalsin.bar&cachebuster=1639565557&website_link_type=website&src_bizid=Snx6SBZEV7D3_xLPNwaSUQ&s=f1bc53ff806c8137c9d84ff9cfd61f186005fc7bc1943284604957d83566efb2,https://www.yelp.co.uk/biz/original-sin-london-2?osq=snooker,4 star rating,9 reviews,££,"Cocktail Bars, Dive Bars"
Windsor Castle,135 Lower Clapton Road London E5 8EQ,020 8985 6096,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.thewindsorcastleclapton.com&cachebuster=1639565560&website_link_type=website&src_bizid=DLvfMUNcX2dhDPnGhyW2qQ&s=80d3f3f0127a6d5043314590bbf7e498c9940df2aadfd4bb89de5c1490ebf756,https://www.yelp.co.uk/biz/windsor-castle-london-4?osq=snooker,3 star rating,10 reviews,££,Pubs
The Bell,50 Middlesex Street London E1 7EX,020 7247 3459,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.thebellpub.co.uk&cachebuster=1639565563&website_link_type=website&src_bizid=jkAOi7uEcd6fejSkTyb2Pg&s=926aa94ab0a0e6e8025fc776f8bc6901ce394e72b8bb1322f7d904cf1e125d26,https://www.yelp.co.uk/biz/the-bell-london-6?osq=snooker,3.5 star rating,14 reviews,££,Pubs
QDOBA Mexican Eats,"841 Wellington Rd S Unit B3 London, ON N6E 1W4 Canada",(519) 204-8676,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fqdoba.com&cachebuster=1639565565&website_link_type=website&src_bizid=JW6dYADI9Dt0SobZWTAfHA&s=a33ad332e229a9fa9470d70be4582fc6aaad8a119abe20f776fdeff20f37d198,https://www.yelp.co.uk/adredir?ad_business_id=JW6dYADI9Dt0SobZWTAfHA&campaign_id=2kbdRpkCY0WHq7ik5Dqa_A&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.co.uk%2Fbiz%2Fqdoba-mexican-eats-london&request_id=01f7c4851d9b23bb&signature=dc94777d8c079e3902372f97adc4a8284eb890009738208a303bb990860ab9fb&slot=1,4 star rating,29 reviews,,"Mexican, Takeaway & Fast Food"
The Comedy Store,1A Oxendon Street London SW1Y 4EE,020 7024 2060,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fthecomedystore.co.uk%2Flondon%2F&cachebuster=1639565568&website_link_type=website&src_bizid=AZVqp_YzzkCdX-AeJNkayw&s=4a337ae38371cde6b12f9954d6fa1735bca6e0e951bb6632ecb519261deedc84,https://www.yelp.co.uk/biz/the-comedy-store-london?osq=snooker,4.5 star rating,72 reviews,££,Comedy Clubs
45 Jermyn St,45 Jermyn Street London SW1Y 6JD,020 7205 4545,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.45jermynst.com&cachebuster=1639565573&website_link_type=website&src_bizid=zJU95jzTNozpLS1o4G4gng&s=864f41311301d315f05a76fedf213c860d5197c374f921612c0938ab94d6c5a2,https://www.yelp.co.uk/biz/45-jermyn-st-london?osq=pubs,4.5 star rating,30 reviews,£££,"Bars, Breakfast & Brunch, American (New)"
Namco Funscape,Riverside Buildings Westminster Bridge Road London SE1 7PB,020 7967 1066,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.namcofunscape.com%2Flondon&cachebuster=1639565582&website_link_type=website&src_bizid=IAIG4QvARG-qRDUcOjOmow&s=4b18dc7c93f00efb482371b3b6f4799be79cc08239a0636b48463ea79e22d71a,https://www.yelp.co.uk/biz/namco-funscape-london?osq=snooker,3 star rating,24 reviews,£££,"Arcades, Karaoke, Bowling"
Porters Lodge,17 Arthur Street London EC4R 9BR,020 7283 6599,,https://www.yelp.co.uk/biz/porters-lodge-london?osq=snooker,4 star rating,2 reviews,££,Pubs
Gastro Kitchen and Bar,134 George Street London W1H 5DN,020 7725 5930,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.marriott.com&cachebuster=1639565588&website_link_type=website&src_bizid=3GTixanLn6xA7wZW_lWfrg&s=4edbe945741d6a6fc13cae7e9a3c5150ca3d3d768265b16dedb1dae2fa11136c,https://www.yelp.co.uk/biz/gastro-kitchen-and-bar-london?osq=snooker,4.5 star rating,3 reviews,££,"Bars, Gastro Pubs, Breakfast & Brunch"
Twin Peaks Restaurant,"4330 Creekside Ave Hoover, AL 35244 United States",(205) 719-3464,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Ftwinpeaksrestaurant.com%2Flocations%2Fhoover-al&cachebuster=1639565591&website_link_type=website&src_bizid=CCnFkh954tbJoedoxUC2Ag&s=9d8c71b423ace00df699bfdebac0f951086a5d51d42ad5c65b678c5d6c3bf5b7,https://www.yelp.co.uk/adredir?ad_business_id=CCnFkh954tbJoedoxUC2Ag&campaign_id=ltMsBzvmwuwfg0jVwk-Ryg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.co.uk%2Fbiz%2Ftwin-peaks-restaurant-hoover&request_id=b3e0a9bd4b10efad&signature=52e30ce7ca30f5eef8a0726ec1b9d9a6c82356c785e4a7ee6249fdec0697efb5&slot=0,3.5 star rating,202 reviews,,"American (New), Sports Bars, American (Traditional)"
The Eleanor Arms,460 Old Ford Rd Bow London E3 5JP,020 8980 6992,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Feleanorarms.co.uk%2F&cachebuster=1639565594&website_link_type=website&src_bizid=XtVDziJPFcjjIZ2eG9xd2A&s=6890fecf25ad08ec6ad098bc016df4801b00c4518b2c50958be09c789f05443d,https://www.yelp.co.uk/biz/the-eleanor-arms-london?osq=snooker,4.5 star rating,3 reviews,££,Pubs
The wishing well,5 Tottenham Lane London RG24 7JJ,020 8347 6516,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.allinlondon.co.uk%2Fclubs_bars%2Fvenue-3971.php&cachebuster=1639565596&website_link_type=website&src_bizid=ItipJoBh2yBqhp4YR8O91A&s=52bc787be92b802cbc8f373ace7aa640d8f9db5de70d89cb8b5c8ed24407f032,https://www.yelp.co.uk/biz/the-wishing-well-london-6?osq=snooker,4.5 star rating,4 reviews,££,Pubs
The Aquarium,256-260 Old Street London EC1V 9DD,020 7251 6136,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.clubaquarium.co.uk&cachebuster=1639565599&website_link_type=website&src_bizid=vc4rarzXcxYxKmxm3G-Zgw&s=3bb014464ee059854657a17fe213d4c6944b3a9b5342ca09abc3fef4bdc600c3,https://www.yelp.co.uk/biz/the-aquarium-london?osq=snooker,3.5 star rating,17 reviews,£££,"Clubs, Bars"
Berners Tavern,10 Berners Street London W1T 3NP,020 7781 0000,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.editionhotels.com%2Flondon%2Frestaurants-and-bars%2Fberners-tavern&cachebuster=1639565601&website_link_type=website&src_bizid=ZKfiQaOMDu7rfVhmMmQ0bQ&s=19d009a77c06ce363d5cb21226756926f501033e3bf013029c36144792719708,https://www.yelp.co.uk/biz/berners-tavern-london-5?osq=snooker,4.5 star rating,121 reviews,£££,"British, Pubs"
The London EDITION Lobby Bar,10 Berners Street London W1T,020 7781 0000,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.editionhotels.com%2Flondon%2Frestaurants-and-bars%2Flobby-bar&cachebuster=1639565604&website_link_type=website&src_bizid=EPqsVJSGRmKePIqYgOOolg&s=499894ba7e5144fa24294c0c5705dc6d4e5f8fce4eaeed5c229df615faf7b52a,https://www.yelp.co.uk/biz/the-london-edition-lobby-bar-london?osq=snooker,4.5 star rating,6 reviews,£££,Bars
The Black Heart,2-3 Greenland Place London NW1 0AP,020 7428 9730,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.ourblackheart.com&cachebuster=1639565608&website_link_type=website&src_bizid=sfSLpV-gKIpHbYrcqTDJPQ&s=43ae710a76e467b982ee4f7209f5faba3578091b3ef89b33c3943f61dbdca90f,https://www.yelp.co.uk/biz/the-black-heart-london?osq=snooker,4 star rating,33 reviews,££,Pubs
Stage Door,28-30 Webber Street London SE1 8QA,020 7928 8964,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.thestagedoor.co.uk%2F&cachebuster=1639565611&website_link_type=website&src_bizid=_tne9luXnYWB3mC8YVTjaQ&s=575e0aadea479876431be96e98045b27d207014cf0f9843195427bf2e67955c4,https://www.yelp.co.uk/biz/stage-door-london-2?osq=snooker,4 star rating,18 reviews,££,Pubs
The Commercial Tavern,142-144 Commercial Street London E1 6NU,020 3137 9563,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fharrildandsons.com%2Fcommercialtavern&cachebuster=1639565614&website_link_type=website&src_bizid=EmnzqBKCmVv6h0Bamm0zzg&s=ca6d361aa22951bc8221a83a23a27d94c16b8bee3b8f9b90ed8c481805c2adb7,https://www.yelp.co.uk/biz/the-commercial-tavern-london?osq=Billiards,4 star rating,55 reviews,££,Pubs
Shades Snooker & Pool Club,197-199 Deptford High Street Deptford London SE8 3NT,020 8692 4693,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fshadesleisure.co.uk&cachebuster=1639565616&website_link_type=website&src_bizid=KKAk0SP2Ki66cETcpqH0HA&s=a1caaadddad795ebdab1f41326f252068ec8cea851d0aaeb67f014cf0e36c6b2,https://www.yelp.co.uk/biz/shades-snooker-and-pool-club-london?osq=Billiards,,,££,Pool & Snooker Hall
The Marylebone,93 Marylebone High Street London W1U 4RE,020 7935 4373,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.themarylebonelondon.com%2F&cachebuster=1639565623&website_link_type=website&src_bizid=Pz43R3x69i6rNd5KNSXZxA&s=c46bbe7318966742d9d95b2c245f49b9b25334ecf3ca6a8a7949b0eeb160f5b2,https://www.yelp.co.uk/biz/the-marylebone-london?osq=pubs,4 star rating,42 reviews,££,Pubs
