Name,Title,Practice affiliation,Address,Phone,Website,Email,YELP Profile
Tetteh Pediatric Health,,,"7248 S Land Park Dr Ste 118 Sacramento, CA 95831",(916) 538-6118,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.tettehpediatrichealth.com&cachebuster=1647081867&website_link_type=website&src_bizid=jO-PcIRCPKh167St8D6OQw&s=2fc7f45430b74050416126a83bb62eb9968f2954523fc2a185306b78b35e09b9,,https://www.yelp.com/adredir?ad_business_id=jO-PcIRCPKh167St8D6OQw&campaign_id=8JJaJB_RMkUjyZr04cbrlw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftetteh-pediatric-health-sacramento&request_id=734e9c11e0ffc4e7&signature=29619b8c2169ae9201c198d293981698d9ea342a6bb59d7f10c2b12114eb31e2&slot=2
"Wing Allison, MD",,,"2521 Stockton Blvd Sacramento, CA 95817",(916) 734-3112,N/a,,https://www.yelp.com/biz/wing-allison-md-sacramento?osq=Pediatrician
Sacramento Valley Pediatrics Medical Group,,,"7501 Hospital Dr Ste 203 Sacramento, CA 95823",(916) 681-1130,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fsacramentovalleypediatric.com%2F&cachebuster=1647081890&website_link_type=website&src_bizid=8VLHEbfre5sTmIOKnZuYYQ&s=5b3a7344848d34ca28e256388e0759f5214e22781ff39f6d6af173250b2dc40c,,https://www.yelp.com/biz/sacramento-valley-pediatrics-medical-group-sacramento?osq=Pediatrician
"Douglas Cooper, MD - NVISION Eye Centers",,,"1220 25th St Sacramento, CA 95816",(866) 648-9625,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.nvisioncenters.com%2Flocations%2Fsacramento%2Fh-douglas-cooper%2F%3Futm_medium%3Dyelp%26utm_source%3Ddirectory&cachebuster=1647081912&website_link_type=website&src_bizid=U1PumusmbFf-tp8TQHi_lw&s=e7b94f08823669e5e3895acb9210db5c8bb46bc3d3dc57d3950a517911d28698,,https://www.yelp.com/adredir?ad_business_id=U1PumusmbFf-tp8TQHi_lw&campaign_id=AsaEyRdH5Yo7Tl78FFSooA&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdouglas-cooper-md-nvision-eye-centers-sacramento&request_id=728a77dd825f93ec&signature=1d54d5e53242ffabd5262377b841bea4cf64b4e19898ad571ecea8ea190aee48&slot=0
Capital Allergy & Respiratory Disease Center,,,"5609 J St Ste C Sacramento, CA 95819",(916) 453-8696,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.capitalallergy.com&cachebuster=1647081917&website_link_type=website&src_bizid=g6Wfd2Ejy_NqJgli_wW7iw&s=4d92f77c05fd36b487172a24500e2300320e271b7f867bb2395cd232782cd965,,https://www.yelp.com/biz/capital-allergy-and-respiratory-disease-center-sacramento?osq=Pediatrician
"Bremer Andrew, MD",,,"2521 Stockton Blvd Sacramento, CA 95817",(916) 734-3112,N/a,,https://www.yelp.com/biz/bremer-andrew-md-sacramento?osq=Pediatrician
Poidmore Orthodontics,,,"2310 E Bidwell St Ste 250 Folsom, CA 95630",(916) 988-1744,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.poidmoreortho.com&cachebuster=1647081938&website_link_type=website&src_bizid=F02bJNyUEF37XslQ70RGag&s=70c79d13c1f32a1cc8e97ee30e3d1fea5f4a0d9b30dbcd4482d7a1c8f26d93cb,,https://www.yelp.com/adredir?ad_business_id=F02bJNyUEF37XslQ70RGag&campaign_id=Mg2yfl80At-vU95rNUgcGw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpoidmore-orthodontics-folsom&request_id=6b7ce0bdfdc34289&signature=b46ec67bebaac83f6c760e3aa13838d7c4db8c87a7babb1313cd9f72ab28ab82&slot=0
O'malley Peter MD,,,"251 Turn Pike Dr Folsom, CA 95630",(916) 985-9330,N/a,,https://www.yelp.com/biz/o-malley-peter-md-folsom?osq=Pediatrician
Pediatric Dentistry of West Sacramento,,,"2101 Stone Blvd Ste 130 West Sacramento, CA 95691",(916) 277-8055,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwestsacpediatricdentistry.com%2F&cachebuster=1647081951&website_link_type=website&src_bizid=h_eppRbNHIgzBkG3lpdFAQ&s=7ae936b5649a32d23e201cbdd33acc247aeaaa1b3bf605cd4e008b150508709f,,https://www.yelp.com/adredir?ad_business_id=h_eppRbNHIgzBkG3lpdFAQ&campaign_id=a2voMba_IYb25Q83rXI_aw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpediatric-dentistry-of-west-sacramento-west-sacramento-2&request_id=919137464df92a21&signature=cd9c47ed114868fab68f3e6c8683035b540d6e22604c13c165da68c282076ea5&slot=0
"Steinfield Mary Beth, MD",,,"2825 50th St Sacramento, CA 95817",(916) 456-4188,N/a,,https://www.yelp.com/biz/steinfield-mary-beth-md-sacramento?osq=Pediatrician
"Mahdavi Abbas, MD",,,"3903 Lone Tree Way Ste 211 Antioch, CA 94509",(925) 754-7200,N/a,,https://www.yelp.com/biz/mahdavi-abbas-md-antioch?osq=Pediatrician
Western Dental & Orthodontics,,,"3645 Northgate Blvd Sacramento, CA 95834",(916) 287-7706,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwesterndental.com%2Fen-us%2Ffind-a-location%2Fcalifornia%2Fsacramento%2F3645-northgate-blvd&cachebuster=1647082013&website_link_type=website&src_bizid=2ljwXnIvgicQ_9O8ij1y7A&s=80482b00a2fd4eb35fb2e73db7839d32a52dd3969fd7dd7984eebfc91d3b151a,,https://www.yelp.com/adredir?ad_business_id=2ljwXnIvgicQ_9O8ij1y7A&campaign_id=S8KuCaJgvMbx3HbJN0GioQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwestern-dental-and-orthodontics-sacramento-2&request_id=1b11e70a8a4ce14a&signature=ff6cbc636efceb241697eb54d11ef84e91905a7c0a706d82d720265570f38051&slot=1
Wardany Oral Implantology,,,"3960 El Camino Ave Ste 4 Sacramento, CA 95821",(916) 891-2713,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sacimplants.com&cachebuster=1647082022&website_link_type=website&src_bizid=F4-i493hBy3mdI42CrUbeg&s=f8aa77920db385bcfbd448925a030a6a8375e0888a73c260dd867aa2c2c099fc,,https://www.yelp.com/adredir?ad_business_id=F4-i493hBy3mdI42CrUbeg&campaign_id=yPiq4fiHAyBUR4qqsSoUFg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwardany-oral-implantology-sacramento&request_id=c98321011c923b5b&signature=29bd96da2f012080a3e88e2d079b578fb106e1c48fac1c2b5028e55e71373c83&slot=0
Kids Care Dental & Orthodontics - Natomas Office,,,"4670 Natomas Blvd Ste 100 Sacramento, CA 95835",(916) 575-7701,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.kidscaredental.com%2Flocations%2F%3Futm_campaign%3DYelp%26utm_medium%3DYelp%26utm_source%3DSocial&cachebuster=1647082050&website_link_type=website&src_bizid=inAK7SXSWq2NUi8KEyF0aA&s=11bffda5478de1f145aea2303f823f52e26c461c4959a1c197ec12509c94e36b,,https://www.yelp.com/adredir?ad_business_id=inAK7SXSWq2NUi8KEyF0aA&campaign_id=h2JAVym8CR9jKnFfKwNwuw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkids-care-dental-and-orthodontics-natomas-office-sacramento&request_id=b904c41c834156f7&signature=1e61f2803377dde2234744b91ffb8468908194d7786d7225c9874aeda6adc822&slot=0
Greater Sacramento Pediatric Associates,,,"1301 Secret Ravine Pkwy Ste 140 Roseville, CA 95661",(916) 788-3030,N/a,,https://www.yelp.com/biz/greater-sacramento-pediatric-associates-roseville?osq=Pediatrician
"Arlene P Hay, MD",,Sutter Medical Foundation ,"1625 Stockton Blvd., #106 Sacramento, CA 95816",(916) 262-9002,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-arlene-p-hay%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647082070&website_link_type=website&src_bizid=9kdVkCyMqJMFjSWv4bM_Sg&s=f06ac5956fd0c7f5c58acb6cfe8059351b9c75d27014f04d80477dbedc940beb,,https://www.yelp.com/adredir?ad_business_id=9kdVkCyMqJMFjSWv4bM_Sg&campaign_id=-SiK00sulU2jvHItf8CWEw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Farlene-p-hay-md-sacramento&request_id=df49075a5d9f3b6f&signature=9addae0fe0f33d4b6e9c4aa4658eb3c28c38b4ce1a6a12f74bd8a7cda047e8c7&slot=1
Camden Dental Care,,,"9170 Elk Grove Florin Rd Ste D Elk Grove, CA 95624",(916) 686-2888,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.camdendentalelkgrove.com&cachebuster=1647082076&website_link_type=website&src_bizid=ll2N0kN8C62eyuBYNNNK-w&s=47e9a2e9c5e82a78a099fbecda3d2d83e88119845c0d9473fc299e004660c33f,,https://www.yelp.com/adredir?ad_business_id=ll2N0kN8C62eyuBYNNNK-w&campaign_id=0T6Hs_le6qNT4uXL8yKl5w&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcamden-dental-care-elk-grove&request_id=722d844b00d2e462&signature=a595a2593d947ea9e0da900f91e0250711504a0923c4095783c8540bb4548e79&slot=0
Mercy Medical Group-Dignity Health,,,"4987 Golden Foothill Pkwy El Dorado Hills, CA 95762",(916) 586-7426,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fdhmf.org%2Fmercymedicalgroup&cachebuster=1647082086&website_link_type=website&src_bizid=9okt2nmJzJPg14utyx9anw&s=4d8bc0b309e4566b30ec8fdded66c9ef07c7b0ee9965bbbd31c6aa5261b5cd0d,,https://www.yelp.com/biz/mercy-medical-group-dignity-health-el-dorado-hills-2?osq=Pediatrician
Mercy Hospital of Folsom,,,"1650 Creekside Dr Folsom, CA 95630",(916) 983-7400,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.mercyfolsom.org%2F&cachebuster=1647082091&website_link_type=website&src_bizid=aab4AxbAqIem4wZKolIU7g&s=3057595cb622582d04bd22c79868370b9ae084fde36a68c546eb01ebd01f34c1,,https://www.yelp.com/biz/mercy-hospital-of-folsom-folsom?osq=Pediatrician
UC Davis Medical Group - Pediatrics,,,"1370 Prairie City Rd Folsom, CA 95630",(916) 985-9300,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.ucdmc.ucdavis.edu%2Fmedicalcenter%2Fcliniclocations%2Fprimarycare%2Ffolsom.html&cachebuster=1647082094&website_link_type=website&src_bizid=W_a0LTG66o2A2iI-weyDow&s=9692e10469e3079a68480317ea105beb2b4ed9e6b33af3405a02d1b4df010f5c,,https://www.yelp.com/biz/uc-davis-medical-group-pediatrics-folsom?osq=Pediatrician
"Angelo J Nazareno, MD",,,"8118 Timberlake Way Ste 230 Sacramento, CA 95823",(916) 688-5040,N/a,,https://www.yelp.com/biz/angelo-j-nazareno-md-sacramento?osq=Pediatrician
Hanger Clinic,,,"1411 Secret Ravine Pkwy Ste 100 Roseville, CA 95661",(916) 784-6900,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fhangerclinic.com%2Fclinics%2FCA%2Froseville%2Fsecret-ravine-pkwy%2F&cachebuster=1647082116&website_link_type=website&src_bizid=V_RG2F8iMG-wrcQE25nqbQ&s=31e24a6dd07513e9c5e2cc2c2f1ee762d3964de351371bd2e09a137c9e34d086,,https://www.yelp.com/biz/hanger-clinic-roseville-2?osq=Pediatrician
"Anna Marie G Labaro, MD",,Sutter Medical Foundation ,"3100 Douglas Blvd. Roseville, CA 95661",(916) 774-8500,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-annamarie-g-labaro%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647082120&website_link_type=website&src_bizid=8CsudqZHaMgEol3NrJEXaQ&s=dd1f540a237bc6e036efe99142ecdfa901719f33cd324a45604d40efdb5cff0a,,https://www.yelp.com/biz/anna-marie-g-labaro-md-roseville?osq=Pediatrician
"Maney T Wade, MD",,,"2261 Douglas Blvd Uc Davis Medical Group Roseville, CA 95661",(916) 783-7109,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.ucdmc.ucdavis.edu%2Fpublish%2Fproviderbio%2Fsearch%2F7&cachebuster=1647082122&website_link_type=website&src_bizid=dy13NcaHQsexZAGh_YOzMg&s=c5583eaffda3f1052810a0f0de92d119ecf311d912a79399cd680a4da2a812cb,,https://www.yelp.com/biz/maney-t-wade-md-roseville-2?osq=Pediatrician
Greater Sacramento Pediatrics Association,,,"1561 Creekside Dr Folsom, CA 95630",(916) 983-8595,N/a,,https://www.yelp.com/biz/greater-sacramento-pediatrics-association-folsom?osq=Pediatrician
"Rachel E Morrissey, MD",,Sutter Medical Foundation ,"685 Twelve Bridges Drive Suite B Lincoln, CA 95648",(916) 408-5915,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-rachel-e-louie%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647082137&website_link_type=website&src_bizid=30tslaCQutJHL3gYk_FfQQ&s=35ec739bfbc32e7f73c91bf6d531bc6e95ce70cf86ca4975acb8a43693e3d1a4,,https://www.yelp.com/biz/rachel-e-morrissey-md-lincoln-2?osq=Pediatrician
"Brant Dyer, MD",,,"4987 Golden Foothill Pkwy El Dorado Hills, CA 95762",(916) 933-4222,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.dhmf.org%2Fmercymedicalgroup&cachebuster=1647082140&website_link_type=website&src_bizid=9PqmDTjnhwySPoQQ9cHVKQ&s=6c464186b80199fbf7ffd6245d071d228073a57e2fc3994497db2eba4fd83897,,https://www.yelp.com/biz/brant-dyer-md-el-dorado-hills?osq=Pediatrician
"Akil Palanisamy, MD",,Sutter Medical Foundation ,"2801 K Street Suite 502 Sacramento, CA 95816",(916) 887-4660,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-akilesh-palanisamy%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647082154&website_link_type=website&src_bizid=E0GDLdE1MOBJN1qklbqdzg&s=05356bbcb63fd29252950591598aa76edee8c327047789eee116ca7742095ec1,,https://www.yelp.com/adredir?ad_business_id=E0GDLdE1MOBJN1qklbqdzg&campaign_id=aJHog0iP2-JKSNpIaW7VWw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fakil-palanisamy-md-sacramento&request_id=6a7b61e0ede96cb0&signature=0101384f3ba30ddb57b3f4337250426203211591814f54fe2d9bdda80ad82e01&slot=0
"Christopher D Cox, MD",,Sutter Medical Foundation ,"3100 Douglas Blvd. Roseville, CA 95661",(916) 774-8500,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-christopher-d-cox%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647082160&website_link_type=website&src_bizid=GnFQRxyD-n-n9hz_CKImow&s=fa46bf22f7f9fd70506b39ce8c791c4f56150d1f7e958cb7cdb4c3db9dda8aca,,https://www.yelp.com/biz/christopher-d-cox-md-roseville?osq=Pediatrician
"Kevin Trude, MD MPH FAAP",,Sutter Medical Foundation ,"3100 Douglas Blvd. Roseville, CA 95661",(916) 774-8500,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-kevin-trude%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647082162&website_link_type=website&src_bizid=n0j9-_6ogvGUXq2SilKFzw&s=8e1919f42e5e3b9acde062863f88033e9eb85c8830c0bd9f7ace06b11ed2e5d7,,https://www.yelp.com/biz/kevin-trude-md-mph-faap-roseville?osq=Pediatrician
"Devon Ganter, MD",,,"1650 Response Rd Kaiser Permanente Sacramento, CA 95815",(916) 614-4060,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fmydoctor.kaiserpermanente.org%2Fncal%2Fprovider%2Fdevonganter&cachebuster=1647082165&website_link_type=website&src_bizid=Nwad26n2A56YnBMtTDFERw&s=9aef7a689f8668a7a8b567d43ec0d4e51c240b0b46782a3a35983a413b527abf,,https://www.yelp.com/biz/devon-ganter-md-sacramento?osq=Pediatrician
Kaiser Permanente South Sacramento Medical Center,,,"6600 Bruceville Rd Sacramento, CA 95823",(916) 688-2000,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fthrive.kaiserpermanente.org%2Fcare-near-you%2Fnorthern-california%2Fsouthsacramento%2Flocations%2Fsouth-sacramento-medical-center-2%2F&cachebuster=1647082189&website_link_type=website&src_bizid=8tID8P_sUdQVxKpYoDd4YQ&s=d3f94c704d5a065fd7dc4d6f564430155d1eeccadf383b88929c74f0f3a6f810,,https://www.yelp.com/biz/kaiser-permanente-south-sacramento-medical-center-sacramento?osq=Pediatrician
Rocklin Family Practice & Sports Medicine,,,"3104 Sunset Blvd Rocklin, CA 95677",(916) 624-0300,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Ffamilymedicalpractice.info&cachebuster=1647082200&website_link_type=website&src_bizid=N4JZb2kLcJOxwLR9mPqgew&s=3f936f3dd67b05b5028b202c916f373f1fa232a151866945a186c9af7e9d03bb,,https://www.yelp.com/biz/rocklin-family-practice-and-sports-medicine-rocklin-8?osq=Pediatrician
UC Davis Medical Group,,,"2440 W Covell Blvd Ste 104 Davis, CA 95616",(530) 747-3000,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.ucdmc.ucdavis.edu%2Fmedicalcenter%2Fcliniclocations%2Fprimarycare%2Fdavis.html&cachebuster=1647082202&website_link_type=website&src_bizid=99qB281z0DCfYdNPDm-sEQ&s=1361e8f6d70422224dc36f391be726bd4e07653994f2631945f6697253ac21ff,,https://www.yelp.com/biz/uc-davis-medical-group-davis-5?osq=Pediatrician
"Elaine Van Gundy, MD",,Sutter Medical Foundation ,"3100 Douglas Blvd. Suite 100 Roseville, CA 95661",(916) 774-8500,https://www.yelp.co.uk/biz_redir?url=https%3A%2F%2Fwww.sutterhealth.org%2Ffind-doctor%2Fdr-elaine-vangundy%3Futm_source%3Dyelp%26utm_medium%3Dsocial%26utm_content%3Dbranded-url%26utm_campaign%3Dsmf-yelp-doctors&cachebuster=1647082204&website_link_type=website&src_bizid=uy0WYrOhHpp39RzNEMMMSw&s=6ca18a493ca948ba4ddca74a8f64b275188b3e3e9d8a85d3986923461592f2d7,,https://www.yelp.com/biz/elaine-van-gundy-md-roseville?osq=Pediatrician
Center of Excellence in Pediatric Neurology,,,"5800 Stanford Ranch Rd Bldg 800 Rocklin, CA 95765",(916) 259-1099,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fwww.mycepn.com&cachebuster=1647082207&website_link_type=website&src_bizid=dUvLNFEBbu88rqbQ8F_8_w&s=87236651a1909da38bd2e0af7a3cabb70c6de1a8bd224a9b62b3022b7525aa43,,https://www.yelp.com/biz/center-of-excellence-in-pediatric-neurology-rocklin?osq=Pediatrician
Sacramento Community Clinic,,,"7275 E Southgate Dr Sacramento, CA 95823",(916) 428-3788,https://www.yelp.co.uk/biz_redir?url=http%3A%2F%2Fhalocares.org&cachebuster=1647082209&website_link_type=website&src_bizid=yiXls7_Av2EgfRk0X9TVIA&s=c7d1a433029078da0a1cd20c15108e5cf2f60589aa15975470d4543194958a34,,https://www.yelp.com/biz/sacramento-community-clinic-sacramento?osq=Pediatrician
